id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
28687,29.0,services,single,secondary,no,-205.0,no,no,cellular,30.0,jan,194.0,1.0,-1.0,0.0,unknown,0
9305,53.0,blue-collar,married,primary,no,0.0,yes,no,unknown,5.0,jun,285.0,2.0,-1.0,0.0,unknown,0
41426,55.0,management,married,,no,2587.0,no,no,cellular,4.0,sep,328.0,2.0,94.0,2.0,success,1
44804,30.0,technician,single,tertiary,no,0.0,no,no,cellular,15.0,sep,214.0,2.0,-1.0,0.0,unknown,0
5879,30.0,unemployed,married,secondary,no,529.0,yes,yes,unknown,26.0,may,,3.0,-1.0,0.0,unknown,0
3815,27.0,blue-collar,single,primary,no,0.0,yes,no,unknown,16.0,may,576.0,1.0,-1.0,0.0,unknown,0
797,34.0,services,married,secondary,no,205.0,yes,no,unknown,7.0,may,312.0,1.0,-1.0,0.0,unknown,0
12286,49.0,housemaid,married,primary,no,57.0,no,yes,unknown,25.0,jun,151.0,1.0,-1.0,0.0,unknown,0
2223,28.0,technician,single,secondary,no,34.0,yes,no,unknown,12.0,may,136.0,4.0,-1.0,0.0,unknown,0
14939,42.0,services,married,secondary,no,3465.0,yes,yes,cellular,16.0,jul,1039.0,2.0,-1.0,0.0,unknown,1
22122,31.0,technician,single,secondary,no,388.0,no,no,cellular,21.0,aug,115.0,,-1.0,0.0,unknown,0
14912,26.0,admin.,single,secondary,yes,0.0,yes,no,cellular,16.0,jul,157.0,2.0,-1.0,0.0,unknown,0
11466,35.0,management,single,tertiary,no,2808.0,yes,no,unknown,19.0,jun,221.0,12.0,-1.0,0.0,unknown,0
41236,28.0,student,single,tertiary,no,3733.0,yes,no,cellular,21.0,aug,419.0,5.0,91.0,7.0,success,0
14102,49.0,blue-collar,married,secondary,no,3728.0,yes,no,cellular,11.0,jul,1060.0,2.0,-1.0,0.0,unknown,1
6273,46.0,technician,married,secondary,no,-337.0,yes,no,unknown,27.0,may,112.0,1.0,-1.0,0.0,,0
10800,48.0,blue-collar,married,primary,no,1670.0,no,no,unknown,17.0,jun,145.0,1.0,-1.0,0.0,unknown,0
14489,33.0,technician,married,tertiary,no,40.0,yes,no,cellular,14.0,jul,110.0,3.0,-1.0,0.0,unknown,0
7552,37.0,technician,single,secondary,no,1255.0,yes,no,unknown,30.0,may,224.0,2.0,-1.0,0.0,unknown,0
21716,52.0,management,single,tertiary,no,1205.0,no,no,telephone,19.0,aug,18.0,,-1.0,0.0,unknown,0
43913,56.0,admin.,married,secondary,no,602.0,no,no,cellular,14.0,jun,458.0,1.0,130.0,8.0,success,1
22215,32.0,housemaid,married,secondary,no,0.0,no,no,cellular,21.0,aug,435.0,2.0,-1.0,0.0,unknown,0
11575,39.0,blue-collar,single,secondary,no,1986.0,no,yes,unknown,19.0,jun,367.0,1.0,-1.0,0.0,,0
35147,58.0,entrepreneur,divorced,secondary,no,0.0,yes,no,cellular,7.0,may,270.0,3.0,-1.0,0.0,unknown,0
24255,39.0,blue-collar,married,primary,no,3324.0,no,no,cellular,17.0,nov,96.0,1.0,131.0,1.0,failure,0
12476,43.0,admin.,single,secondary,no,91.0,no,yes,unknown,1.0,jul,110.0,2.0,-1.0,0.0,unknown,0
42346,70.0,retired,married,primary,no,3230.0,no,no,cellular,24.0,nov,112.0,1.0,-1.0,0.0,unknown,0
43335,52.0,technician,single,secondary,no,436.0,no,yes,unknown,22.0,mar,95.0,1.0,-1.0,0.0,unknown,1
36415,46.0,blue-collar,divorced,primary,no,916.0,yes,no,cellular,11.0,may,472.0,2.0,-1.0,0.0,unknown,0
17405,26.0,services,single,primary,no,179.0,yes,yes,cellular,28.0,jul,333.0,4.0,-1.0,0.0,unknown,0
33803,30.0,management,single,tertiary,no,398.0,no,no,cellular,24.0,apr,235.0,2.0,-1.0,0.0,unknown,1
337,42.0,admin.,single,secondary,no,1022.0,yes,no,unknown,5.0,may,146.0,2.0,-1.0,0.0,,0
9470,56.0,unemployed,divorced,secondary,no,763.0,no,no,unknown,6.0,jun,181.0,2.0,-1.0,0.0,unknown,0
7403,33.0,technician,married,secondary,no,1844.0,yes,,unknown,29.0,may,241.0,3.0,-1.0,0.0,unknown,0
19542,36.0,management,single,tertiary,no,613.0,no,no,cellular,7.0,aug,86.0,2.0,-1.0,0.0,unknown,0
9494,32.0,services,divorced,secondary,no,5267.0,yes,no,unknown,6.0,jun,178.0,2.0,-1.0,0.0,unknown,0
27582,33.0,blue-collar,divorced,secondary,no,744.0,yes,no,cellular,21.0,nov,59.0,3.0,-1.0,0.0,unknown,0
36797,31.0,technician,single,secondary,no,1.0,yes,no,cellular,12.0,may,223.0,1.0,-1.0,0.0,unknown,0
40572,75.0,retired,married,secondary,no,26452.0,no,no,telephone,15.0,jul,219.0,2.0,-1.0,0.0,unknown,0
25498,52.0,management,married,tertiary,no,488.0,yes,no,cellular,19.0,nov,60.0,3.0,-1.0,0.0,unknown,0
26086,31.0,self-employed,single,,no,217.0,no,no,cellular,19.0,nov,501.0,4.0,-1.0,0.0,unknown,0
5481,53.0,admin.,married,secondary,no,-375.0,yes,no,unknown,23.0,may,24.0,1.0,-1.0,0.0,unknown,0
9174,37.0,blue-collar,married,unknown,no,1795.0,yes,no,unknown,5.0,jun,511.0,1.0,,0.0,unknown,0
22070,38.0,technician,married,secondary,,63.0,no,no,cellular,20.0,aug,320.0,4.0,-1.0,0.0,unknown,0
10140,49.0,entrepreneur,married,tertiary,no,384.0,no,no,unknown,11.0,jun,64.0,1.0,-1.0,0.0,unknown,0
560,42.0,technician,married,secondary,no,315.0,yes,no,unknown,6.0,may,259.0,2.0,-1.0,0.0,unknown,0
3828,43.0,management,married,secondary,no,452.0,yes,no,unknown,16.0,may,107.0,2.0,-1.0,0.0,unknown,0
22201,45.0,blue-collar,married,secondary,no,1179.0,no,no,cellular,21.0,aug,172.0,6.0,-1.0,0.0,unknown,0
5433,30.0,technician,married,secondary,no,0.0,,no,unknown,23.0,may,541.0,2.0,-1.0,0.0,unknown,0
37623,,blue-collar,single,secondary,no,1006.0,yes,no,cellular,14.0,may,667.0,1.0,-1.0,0.0,unknown,1
44014,68.0,retired,divorced,primary,no,476.0,no,no,telephone,28.0,jun,363.0,1.0,-1.0,0.0,unknown,1
17591,,,divorced,tertiary,no,3390.0,no,no,cellular,29.0,jul,43.0,2.0,-1.0,0.0,unknown,0
9332,37.0,services,single,secondary,no,2571.0,no,no,unknown,6.0,jun,40.0,2.0,-1.0,0.0,unknown,0
21079,,management,single,tertiary,no,2813.0,no,no,cellular,14.0,aug,146.0,2.0,-1.0,0.0,unknown,0
22053,50.0,blue-collar,married,primary,no,8000.0,yes,no,cellular,20.0,aug,221.0,10.0,-1.0,0.0,unknown,0
31986,42.0,blue-collar,married,primary,no,2103.0,,no,cellular,13.0,apr,384.0,2.0,-1.0,0.0,unknown,1
28235,45.0,management,single,primary,no,707.0,yes,no,cellular,29.0,jan,78.0,1.0,-1.0,,unknown,0
15274,54.0,blue-collar,single,secondary,no,40.0,yes,no,cellular,18.0,jul,172.0,2.0,-1.0,0.0,unknown,0
1937,47.0,management,divorced,tertiary,no,84.0,yes,no,unknown,,may,229.0,5.0,-1.0,0.0,unknown,0
4353,25.0,blue-collar,married,secondary,no,316.0,yes,yes,unknown,19.0,may,360.0,2.0,-1.0,0.0,unknown,0
7506,51.0,management,single,tertiary,no,3087.0,yes,no,unknown,,may,86.0,4.0,-1.0,0.0,unknown,0
33161,43.0,admin.,married,secondary,no,101.0,yes,no,cellular,20.0,apr,131.0,2.0,349.0,3.0,failure,0
12021,39.0,technician,married,secondary,no,2765.0,yes,yes,unknown,20.0,jun,116.0,3.0,-1.0,0.0,unknown,0
44105,29.0,admin.,single,secondary,no,1992.0,no,no,cellular,8.0,jul,202.0,1.0,87.0,2.0,failure,0
28827,26.0,unemployed,single,tertiary,no,370.0,no,no,cellular,30.0,jan,230.0,1.0,-1.0,0.0,unknown,0
